icgc_sample_id,gene_symbol,# mutations at gene
SA10120,ELAC2,14
SA10120,DNAH5,4
SA10120,FGFR2,32
SA10120,KIF22,12
SA10120,GCN1,8
SA10120,TIMP3,2
SA10120,NFATC4,31
SA10120,MAZ,34
SA10120,DOT1L,12
SA10120,FN1,15
SA10120,IPO13,8
SA10120,PIK3R3,16
SA10120,CTNNAL1,8
SA10120,ATAD2B,2
SA10120,PIK3CA,2
SA10120,MYH10,10
SA10120,CCNB1,14
SA10120,MBD1,60
SA10120,MLIP,10
SA10120,UBC,14
SA10120,MAGI1,14
SA10120,SLC16A1,14
SA10120,FMN2,4
SA10120,JAML,22
SA10120,KRT82,2
SA10120,SSX3,6
SA10120,OR51E2,2
SA10120,PRRT2,12
SA10120,CRTAP,6
SA10120,DSCAM,4
SA10120,LGALS4,16
SA10120,ZSCAN2,22
SA10120,NAALADL2,8
SA10120,ALOX12B,2
SA10120,TRAK1,9
SA10120,SYN3,6
SA10120,ZNF829,4
SA10120,OR8D1,2
SA10120,PIWIL2,6
SA10120,ZNF675,8
SA10120,L3MBTL3,7
SA10120,DMD,16
SA10120,MUC12,4
SA10120,RNU6-140P,2
SA10120,,2
SA10120,ERHP2,2
SA10120,,2
SA10120,,2
SA10120,FAM157B,4
SA10120,,4
SA10120,,1
SA10120,ZNF345,12
SA10120,RNU7-43P,2
SA10120,HSPE1P18,2
SA10120,,2
SA10120,,2
SA10120,,2
SA10120,MIR4314,2
SA10120,MIR5188,1
SA10120,,2
SA10120,,2
SA10195,ELAC2,14
SA10195,DNAH5,4
SA10195,FGFR2,32
SA10195,KIF22,12
SA10195,GNAS,84
SA10195,GCN1,8
SA10195,TIMP3,2
SA10195,NFATC4,31
SA10195,MAZ,34
SA10195,DOT1L,12
SA10195,IL4I1,12
SA10195,CDH9,4
SA10195,NUP155,4
SA10195,FN1,15
SA10195,IPO13,8
SA10195,PIK3R3,16
SA10195,CTNNAL1,8
SA10195,ATAD2B,2
SA10195,PIK3CA,2
SA10195,CSMD2,4
SA10195,KDR,2
SA10195,MYH8,2
SA10195,MYH10,10
SA10195,CTIF,10
SA10195,CCNB1,14
SA10195,MBD1,60
SA10195,MLIP,10
SA10195,EIF3H,20
SA10195,MAGI1,14
SA10195,SLC16A1,14
SA10195,JAML,22
SA10195,AZGP1,8
SA10195,KRT82,2
SA10195,SGO2,4
SA10195,SSX3,6
SA10195,OR51E2,2
SA10195,PRRT2,12
SA10195,ATF5,10
SA10195,CRTAP,6
SA10195,CDC42BPG,4
SA10195,DSCAM,4
SA10195,SEZ6L2,12
SA10195,ZSCAN2,22
SA10195,NAALADL2,8
SA10195,ALOX12B,2
SA10195,PAK2,1
SA10195,TRAK1,9
SA10195,SYN3,6
SA10195,COL4A1,4
SA10195,PIWIL2,6
SA10195,ZNF675,8
SA10195,HRNR,2
SA10195,L3MBTL3,7
SA10195,MUC12,4
SA10195,KLRC2,10
SA10195,RNU6-42P,1
SA10195,NUP62,42
SA10195,AZGP1P1,6
SA10195,CDIPT-AS1,4
SA10195,,2
SA10195,ERHP2,2
SA10195,,2
SA10195,,2
SA10195,FLG-AS1,4
SA10195,,4
SA10195,,1
SA10195,,2
SA10195,RNU7-43P,2
SA10195,AP5B1,1
SA10195,HSPE1P18,2
SA10195,,2
SA10195,,2
SA10195,,2
SA10195,,2
SA10195,MIR4314,2
SA10195,,2
SA10195,,2
SA10195,,2
SA10195,,4
SA10195,MYHAS,2
SA10432,RFC1,5
SA10432,VCAN,9
SA10432,DIP2B,2
SA10432,SEC31B,19
SA10432,ARHGAP15,4
SA10432,NEFH,1
SA10432,CD5,2
SA10432,PDE4D,14
SA10432,PIK3CA,1
SA10432,DBH,2
SA10432,TUBGCP2,6
SA10432,PLXNC1,2
SA10432,FHDC1,2
SA10432,CBLC,2
SA10432,CDC42BPA,7
SA10432,CADPS,5
SA10432,AGBL2,6
SA10432,MYO5B,4
SA10432,RPS9,1
SA10432,ZNF415,20
SA10432,MUC7,6
SA10432,TMEM51,6
SA10432,SELP,10
SA10432,CNGA2,1
SA10432,DENND5A,6
SA10432,MAML2,1
SA10432,OR11G2,1
SA10432,ZNF460,3
SA10432,ZNF511,5
SA10432,,1
SA10432,LILRB3,1
SA10432,LILRA6,8
SA10432,VCAN-AS1,2
SA10432,,1
SA10432,,1
SA10432,SNHG22,1
SA10634,PIK3C2A,5
SA10634,CYP24A1,4
SA10634,ZZEF1,2
SA10634,SCTR,3
SA10634,PTHLH,10
SA10634,CNTRL,6
SA10634,RNF113A,1
SA10634,NDUFA1,1
SA10634,NUTM2F,3
SA10634,RAB30,15
SA10634,TP53,17
SA10634,FBN3,3
SA10634,PIK3R1,15
SA10634,PDCD11,2
SA10634,RASGRP3,10
SA10634,TTN,7
SA10634,NAA11,3
SA10634,TAF3,1
SA10634,FBN1,3
SA10634,TPP1,11
SA10634,DCHS1,1
SA10634,ANKRD11,4
SA10634,STK32A,3
SA10634,TMEM37,4
SA10634,NWD2,2
SA10634,LARP7,8
SA10634,IFT140,4
SA10634,BRINP2,2
SA10634,NACAP1,2
SA10634,TTN-AS1,5
SA10634,MICAL3,3
SA10634,MIR302B,1
SA10634,DUXAP2,1
SA10634,,1
SA10634,,1
SA10634,,1
SA10634,,1
SA10738,POLDIP2,2
SA10738,PHLDB1,8
SA10738,HGF,10
SA10738,ERCC8,9
SA10738,PHKA1,5
SA10738,FUNDC1,2
SA10738,TRPM5,5
SA10738,FSCN1,6
SA10738,ARHGAP15,2
SA10738,MYH7B,1
SA10738,CHRNA3,4
SA10738,HSP90AA1,10
SA10738,MYBL2,2
SA10738,PPP2R5D,9
SA10738,SRF,2
SA10738,PINK1-AS,1
SA10738,PIK3CA,3
SA10738,MEA1,1
SA10738,NUP153,2
SA10738,RTN2,10
SA10738,MTERF1,8
SA10738,PAN2,15
SA10738,BPHL,9
SA10738,RIPK1,3
SA10738,TTN,8
SA10738,RPGR,9
SA10738,PINK1,2
SA10738,ZNF208,6
SA10738,KLHL30,2
SA10738,KRT27,2
SA10738,ABO,2
SA10738,MAML2,1
SA10738,TMEM247,2
SA10738,,1
SA10738,MIR499A,1
SA10738,PPM1N,7
SA10738,GOLGA6L5P,3
SA10738,,1
SA10738,L1TD1,1
SA10738,TMEM199,8
SA10738,,1
SA10738,,1
SA10738,,1
SA10738,,1
SA10738,,1
SA10862,CRLF1,1
SA10862,MARK4,1
SA10862,TRAPPC6A,4
SA10862,IFFO1,5
SA10862,LRRC23,13
SA10862,SNAPC1,1
SA10862,SLC1A3,12
SA10862,PCDHA6,2
SA10862,TBC1D2,4
SA10862,HSD17B7P2,5
SA10862,SOS2,2
SA10862,NINL,3
SA10862,PSMA7,6
SA10862,KXD1,15
SA10862,CFAP69,10
SA10862,RAD51C,10
SA10862,NOP2,12
SA10862,SEC24A,2
SA10862,OTOF,2
SA10862,PLCL1,4
SA10862,ELL2,4
SA10862,CEP250,4
SA10862,RHOT1,16
SA10862,HIVEP3,5
SA10862,HEATR5A,8
SA10862,FCHO1,19
SA10862,TAF4,6
SA10862,UBE4B,5
SA10862,NUP210,1
SA10862,MYH8,1
SA10862,WDR74,12
SA10862,THAP12,5
SA10862,SBNO1,4
SA10862,CDAN1,3
SA10862,MTF2,10
SA10862,USP53,3
SA10862,C9orf3,12
SA10862,LSM14B,2
SA10862,ARID5B,1
SA10862,SORBS2,17
SA10862,ABCG1,7
SA10862,KIF26B,3
SA10862,SPATA18,4
SA10862,C4orf3,1
SA10862,C19orf33,4
SA10862,YIF1B,16
SA10862,NDUFV1,28
SA10862,GSTM4,24
SA10862,PDCD6IP,5
SA10862,MAP6,3
SA10862,ADAMTS20,4
SA10862,MAP3K11,5
SA10862,ZNF619,9
SA10862,PDE4DIP,9
SA10862,ZNF518B,2
SA10862,PLEC,13
SA10862,NKPD1,3
SA10862,KCNB2,1
SA10862,C11orf72,2
SA10862,SS18L1,3
SA10862,NOMO2,6
SA10862,ADARB2,2
SA10862,ZNF555,3
SA10862,FGF3,1
SA10862,PCNX3,2
SA10862,PCDHB11,2
SA10862,ADH5,12
SA10862,CACNA1E,8
SA10862,GFPT1,2
SA10862,MTOR,3
SA10862,LRIG2,1
SA10862,OR2J1,1
SA10862,PCDHA9,2
SA10862,PCDHA8,1
SA10862,PCDHA7,1
SA10862,PCDHA5,2
SA10862,PCDHA4,2
SA10862,PCDHA2,1
SA10862,PCDHA1,2
SA10862,MIR23B,1
SA10862,MIR3074,1
SA10862,MIR27B,1
SA10862,CROCCP2,2
SA10862,UBA52,14
SA10862,RNU2-2P,1
SA10862,RNA5SP492,1
SA10862,DOC2GP,2
SA10862,FAM157B,2
SA10862,,1
SA10862,,1
SA10862,,1
SA10862,PCDHA3,1
SA10862,,1
SA10862,,1
SA10862,,1
SA10862,,2
SA10862,,1
SA10862,,2
SA10862,MYHAS,1
SA10978,SDK2,4
SA10978,PLPPR2,6
SA10978,SLC16A6,4
SA10978,NUP153,2
SA10978,SERPINF1,8
SA10978,RNASEH2B,4
SA10978,PCSK6,15
SA10978,ARSG,2
SA10978,ASXL3,2
SA10978,MUC4,17
SA10978,NTRK2,9
SA10978,ASTN1,4
SA10978,GRIA4,5
SA10978,FRMD1,8
SA10978,MRPL17,4
SA10978,CES5A,8
SA10978,ATXN7L2,6
SA10978,AGL,7
SA10978,CAPN2,5
SA10978,C2,2
SA10978,ADCY5,5
SA10978,CYB561D1,9
SA10978,FAM182B,5
SA10978,TMEM94,23
SA10978,CCDC159,17
SA10978,APOBR,3
SA10978,SMYD4,1
SA10978,CLN3,39
SA10978,IL27,1
SA10978,SFT2D1,6
SA10978,CD247,7
SA10978,EHMT2,7
SA10978,IGHV4-31,1
SA10978,,1
SA10978,RNU6-277P,1
SA10978,IGHV3-30-2,1
SA10978,,1
SA11155,GABRA3,2
SA11155,RNH1,24
SA11155,PCDHGA2,1
SA11155,POLR2F,3
SA11155,SOX10,5
SA11155,HCK,8
SA11155,MAN2B1,7
SA11155,WDR83OS,4
SA11155,CCL1,1
SA11155,FBXO2,4
SA11155,PADI2,3
SA11155,TAF12,1
SA11155,PIK3CA,2
SA11155,WDR83,12
SA11155,PDE1B,6
SA11155,RREB1,5
SA11155,AKAP12,5
SA11155,WDR44,4
SA11155,MUTYH,41
SA11155,FBXO44,9
SA11155,MTUS2,5
SA11155,PPP1R1A,4
SA11155,KIAA1644,1
SA11155,SFXN2,12
SA11155,COA7,2
SA11155,DIRAS2,1
SA11155,NOL6,7
SA11155,MAP1A,3
SA11155,KIFC2,5
SA11155,KCNK9,5
SA11155,COL24A1,3
SA11155,ANO5,1
SA11155,GOLGB1,5
SA11155,KLHDC7A,1
SA11155,MTUS2-AS1,1
SA11155,CCL13,2
SA11155,TEX19,1
SA11155,ATP6V0A2,4
SA11155,CYHR1,10
SA11155,RAB42,2
SA11155,NDOR1,4
SA11155,ZNF675,8
SA11155,SYCP1,5
SA11155,BTNL2,9
SA11155,ZNF425,3
SA11155,PCDHGA1,1
SA11155,MIR1277,1
SA11155,LRRC37A6P,4
SA11155,PCDHGC3,1
SA11155,PCDHGC5,1
SA11155,PCDHGC4,1
SA11155,PCDHGA12,1
SA11155,PCDHGB6,1
SA11155,PCDHGA5,1
SA11155,PCDHGA7,1
SA11155,PCDHGA6,1
SA11155,PCDHGA8,1
SA11155,PCDHGA10,1
SA11155,PCDHGA11,2
SA11155,PCDHGB2,1
SA11155,PCDHGB4,1
SA11155,PCDHGB7,1
SA11155,PCDHGB1,1
SA11155,PCDHGA3,1
SA11155,,1
SA11155,PCDHGA9,1
SA11155,PCDHGB3,1
SA11155,,1
SA11155,PCDHGA4,1
SA11155,,1
SA11323,BTK,5
SA11323,ANO2,4
SA11323,SLC12A2,3
SA11323,RARB,8
SA11323,RIF1,6
SA11323,ATRX,8
SA11323,ZNF268,16
SA11323,MAGEB2,1
SA11323,MAPK1,3
SA11323,TGFBR1,5
SA11323,C5,2
SA11323,CWH43,4
SA11323,CDKN1B,4
SA11323,CHPT1,8
SA11323,CBLB,5
SA11323,LAMTOR2,6
SA11323,NRDE2,12
SA11323,PIK3CA,3
SA11323,ZNF484,12
SA11323,LRCH2,2
SA11323,TRIM5,11
SA11323,CNTN6,4
SA11323,ACTL6A,12
SA11323,FAM149B1,3
SA11323,SYCP3,4
SA11323,EGFR,7
SA11323,SNTG1,6
SA11323,POLE3,4
SA11323,ADGRF1,6
SA11323,PPP2R5E,4
SA11323,LCA5L,5
SA11323,C9orf43,3
SA11323,ALAS2,4
SA11323,ZSCAN12,2
SA11323,UBQLN4,2
SA11323,AMDHD2,18
SA11323,TGFBR2,2
SA11323,PF4,1
SA11323,IQUB,7
SA11323,SPATA19,2
SA11323,APEX2,2
SA11323,FRMPD4,1
SA11323,PCDHB1,1
SA11323,CYP4F11,4
SA11323,ZNF131,11
SA11323,EFEMP2,11
SA11323,MUS81,17
SA11323,CFL1,11
SA11323,PSMD1,5
SA11323,RBMXL3,1
SA11323,C12orf42,11
SA11323,ALOXE3,4
SA11323,WSCD1,6
SA11323,BBS10,1
SA11323,PLD5,5
SA11323,WRB,2
SA11323,MRPS16,1
SA11323,KCNB2,1
SA11323,PAPPA,3
SA11323,GRK1,1
SA11323,ANKRD19P,3
SA11323,GOLGA8M,1
SA11323,RELN,3
SA11323,OR10D3,1
SA11323,ZNF521,12
SA11323,RNY1P16,1
SA11323,CEMP1,3
SA11323,TRBV6-5,1
SA11323,DNAJC9,4
SA11323,DNAJC9-AS1,2
SA11323,ZNF737,4
SA11323,WHAMMP2,3
SA11323,KIAA1210,1
SA11323,RNA5SP290,1
SA11323,TRBV7-4,1
SA11323,,1
SA11323,,1
SA11323,,1
SA11323,MIR3178,1
SA11485,CFH,2
SA11485,GLP2R,3
SA11485,ATG2B,2
SA11485,SLC4A11,6
SA11485,PCSK5,4
SA11485,EIF5,21
SA11485,ERCC2,1
SA11485,KLC3,7
SA11485,CNTNAP3,7
SA11485,TROVE2,12
SA11485,DNAH7,2
SA11485,ATAD2B,4
SA11485,,1
SA11485,ACVR2A,3
SA11485,BATF3,3
SA11485,ABCC4,5
SA11485,LAMP5,2
SA11485,TRIM5,2
SA11485,VPS13B,3
SA11485,CFHR5,2
SA11485,LAMC1,3
SA11485,DBR1,5
SA11485,TP53,17
SA11485,GPR32,1
SA11485,SCCPDH,1
SA11485,AFF3,5
SA11485,NBEAL1,2
SA11485,FANCD2,6
SA11485,FAM171A1,2
SA11485,WWC2,8
SA11485,ZNF547,4
SA11485,TTN,7
SA11485,EDA,12
SA11485,RGL4,8
SA11485,SPTA1,3
SA11485,FANCD2OS,4
SA11485,C7orf57,6
SA11485,FASN,1
SA11485,FRMPD2,5
SA11485,DSCAM,1
SA11485,CARNS1,6
SA11485,OR5B3,1
SA11485,RPS6KB2,13
SA11485,CNBD1,2
SA11485,PUS1,9
SA11485,MAGED1,10
SA11485,OR52E8,1
SA11485,FBXL7,3
SA11485,ZNF284,1
SA11485,SLX4,2
SA11485,ZFP92,1
SA11485,COL4A6,5
SA11485,TUBA3C,1
SA11485,RNA5SP389,1
SA11485,IGHV4-61,1
SA11485,SEPT7P2,9
SA11485,GUSBP11,6
SA11485,TTN-AS1,8
SA11485,,1
SA11485,RNU6-902P,1
SA11485,IGHV3-62,1
SA11485,IGHVII-60-1,1
SA11485,,1
SA11485,,1
SA11485,,1
SA11485,,1
SA11485,,1
SA11485,SNORA28,1
SA11485,,4
SA11485,,1
SA11655,CFH,5
SA11655,SLC13A2,8
SA11655,RHOBTB2,7
SA11655,DYRK4,10
SA11655,IDS,8
SA11655,ANGEL1,6
SA11655,LRRC7,4
SA11655,DNAH5,1
SA11655,RIMBP2,3
SA11655,ELOVL1,15
SA11655,ARFGEF1,5
SA11655,ARHGAP15,3
SA11655,MAP2,9
SA11655,CDH7,3
SA11655,RFFL,13
SA11655,ABLIM1,10
SA11655,WNT2,3
SA11655,HOXA13,2
SA11655,CPED1,7
SA11655,CPVL,7
SA11655,TMEM245,3
SA11655,SHB,1
SA11655,AKAP3,2
SA11655,SMOC2,5
SA11655,SPTBN1,2
SA11655,KDM3A,9
SA11655,BIRC6,2
SA11655,PLCL1,4
SA11655,CDC20,4
SA11655,DNAH7,1
SA11655,IFT43,1
SA11655,TGFB3,4
SA11655,CCRL2,7
SA11655,ZNF644,7
SA11655,INHA,2
SA11655,OBSL1,9
SA11655,MCF2L,19
SA11655,BCL11B,3
SA11655,UBR4,6
SA11655,EIF2AK4,6
SA11655,MYH8,1
SA11655,UNC79,4
SA11655,IL6ST,11
SA11655,PIWIL4,2
SA11655,TAOK3,6
SA11655,URB2,1
SA11655,SCN2A,4
SA11655,BTG4,3
SA11655,RBP4,3
SA11655,HECW2,2
SA11655,ARHGAP24,8
SA11655,CENPE,2
SA11655,TP53,17
SA11655,FHAD1,12
SA11655,FLG,1
SA11655,PARP1,4
SA11655,UBR3,2
SA11655,LPP,3
SA11655,SLC2A12,1
SA11655,RAB19,4
SA11655,GPR174,1
SA11655,FBXO10,5
SA11655,CDHR1,4
SA11655,HYOU1,18
SA11655,FRG1BP,5
SA11655,TWF1,11
SA11655,CCDC50,2
SA11655,TMPRSS15,1
SA11655,MOV10,10
SA11655,ADAMTSL3,5
SA11655,KAT6B,6
SA11655,PAXIP1,6
SA11655,SVOPL,2
SA11655,DNAH3,2
SA11655,RPL8,14
SA11655,VCAM1,4
SA11655,AXDND1,11
SA11655,LMOD1,1
SA11655,STT3B,5
SA11655,CDS1,2
SA11655,KIF27,4
SA11655,NDRG2,2
SA11655,RNASE7,2
SA11655,TRAPPC2L,2
SA11655,POLR3D,5
SA11655,MBD3L1,2
SA11655,OR4D5,1
SA11655,KRT20,2
SA11655,PCDHB1,1
SA11655,MUS81,1
SA11655,CFL1,13
SA11655,RAB37,3
SA11655,SNX32,9
SA11655,NBEA,4
SA11655,CHD2,5
SA11655,ERICH3,2
SA11655,SLC17A8,3
SA11655,GRM8,7
SA11655,OR6T1,1
SA11655,CSMD1,9
SA11655,C11orf88,4
SA11655,KCND2,1
SA11655,KNTC1,8
SA11655,FFAR4,3
SA11655,FAM25A,1
SA11655,SHISA6,4
SA11655,MYT1,2
SA11655,FUT4,1
SA11655,ZNF34,4
SA11655,HCAR1,1
SA11655,ZNF682,12
SA11655,CR1,11
SA11655,HLA-C,9
SA11655,PABPN1L,5
SA11655,MIR34C,1
SA11655,MIR32,1
SA11655,MIR34B,1
SA11655,MIR320A,1
SA11655,ARHGEF35,2
SA11655,RAD51AP2,1
SA11655,USP8P1,1
SA11655,ZNF705G,2
SA11655,FAM66B,2
SA11655,,1
SA11655,,2
SA11655,,1
SA11655,CTAGE4,1
SA11655,,1
SA11655,OR10G9,1
SA11655,FLG-AS1,2
SA11655,,1
SA11655,,2
SA11655,HOTTIP,4
SA11655,,2
SA11655,,1
SA11655,,1
SA11655,,2
SA11655,,2
SA11655,,1
SA11655,,1
SA11655,,1
SA11655,,1
SA11655,,1
SA11655,,2
SA11655,PPY2P,2
SA11655,KRT18P55,3
SA11655,,1
SA11655,,1
SA11655,,3
SA11655,,1
SA11655,,1
SA11655,,2
SA11655,,1
SA11655,MYHAS,1
SA11655,,1
SA11798,PTBP1,20
SA11798,MAT2B,8
SA11798,MAP2K4,13
SA11798,STXBP2,15
SA11798,SRCAP,6
SA11798,PCDHA6,2
SA11798,CMTM1,20
SA11798,EEA1,2
SA11798,SMPD3,2
SA11798,RASL12,3
SA11798,GATA3,3
SA11798,C11orf63,3
SA11798,HDDC2,8
SA11798,GPLD1,1
SA11798,CDH9,2
SA11798,CHD5,4
SA11798,KIF17,7
SA11798,IQSEC3,3
SA11798,PLPPR3,2
SA11798,GNL3L,3
SA11798,PRMT7,10
SA11798,GNAT2,1
SA11798,APC,7
SA11798,TBX3,4
SA11798,CMTM2,3
SA11798,AKT1,12
SA11798,ASB10,6
SA11798,ASB17,1
SA11798,INTS8,8
SA11798,CELP,2
SA11798,COL6A5,3
SA11798,CCNE2,4
SA11798,PLD5,5
SA11798,OR2Z1,1
SA11798,BRWD1,6
SA11798,FAM186A,2
SA11798,SLC51B,1
SA11798,NWD1,8
SA11798,PCDHA9,1
SA11798,PCDHA8,1
SA11798,PCDHA7,1
SA11798,PCDHA5,2
SA11798,PCDHA4,2
SA11798,PCDHA2,1
SA11798,PCDHA1,2
SA11798,SNORA30,1
SA11798,CROCCP2,2
SA11798,TIMM9P2,1
SA11798,BRWD1-IT1,1
SA11798,PCDHA13,2
SA11798,,1
SA11798,PCDHAC1,2
SA11798,PCDHA11,1
SA11798,,2
SA11798,PCDHA10,2
SA11798,PCDHA12,1
SA11798,TRIM64DP,1
SA11798,CKLF-CMTM1,2
SA11798,,1
SA11798,PCDHA3,1
SA11798,,1
SA11798,,1
SA11798,MIR3187,1
SA11798,,1
SA11798,RPL23AP78,1
SA11798,,1
SA12049,UGGT2,1
SA12049,ENDOU,5
SA12049,HERC2,2
SA12049,CHD1L,8
SA12049,ERP27,3
SA12049,NCOR1,7
SA12049,APEH,1
SA12049,RNF123,7
SA12049,FBN1,2
SA12049,TERF2IP,3
SA12049,MST1,23
SA12049,OR2T33,1
SA12049,KIAA2026,4
SA12049,NRAP,4
SA12049,,3
SA12049,SLC6A10P,3
SA12049,ADAM21P1,2
SA12049,,4
SA12049,,1
SA12049,KMT2B,2
SA12152,RBM5,14
SA12152,CDH1,6
SA12152,ACACB,4
SA12152,PUM3,1
SA12152,CAMTA2,14
SA12152,ESPL1,5
SA12152,LMO4,4
SA12152,INTS4,6
SA12152,KCNV2,1
SA12152,PTEN,2
SA12152,KLHL6,3
SA12152,CNBD1,3
SA12152,SEMA3F-AS1,2
SA12152,,1
SA12271,CAPN1,23
SA12271,ANK1,17
SA12271,ARHGAP31,1
SA12271,SCML1,7
SA12271,GUCY1B3,7
SA12271,ASPM,3
SA12271,CDHR2,6
SA12271,ARHGEF10L,8
SA12271,SRCAP,5
SA12271,FUS,11
SA12271,TOP3B,9
SA12271,MYH9,3
SA12271,CDADC1,8
SA12271,VPS18,3
SA12271,RP1,1
